timesteps,ep_rew_mean,ep_len_mean
4096,-137.015869140625,87.85713958740234
8192,-149.22288513183594,100.79220581054688
12288,-140.35340881347656,95.81999969482422
16384,-145.25953674316406,102.0999984741211
20480,-124.92057037353516,87.87000274658203
24576,-118.13966369628906,79.75
28672,-108.12637329101562,74.73999786376953
32768,-89.1866455078125,65.58999633789062
36864,-92.2664794921875,66.52999877929688
40960,-90.41864013671875,64.75
45056,-78.79840850830078,58.290000915527344
49152,-70.7159423828125,54.59000015258789
53248,-54.44063186645508,39.029998779296875
57344,-52.2142333984375,39.43000030517578
61440,-41.58918380737305,32.95000076293945
65536,-47.05962371826172,35.75
69632,-45.97801971435547,34.33000183105469
73728,-42.79429244995117,34.5
77824,-32.29856491088867,27.459999084472656
81920,-29.876619338989258,25.59000015258789
86016,-26.499845504760742,23.719999313354492
90112,-24.501239776611328,25.079999923706055
94208,-24.7801456451416,29.229999542236328
98304,-22.272632598876953,25.950000762939453
102400,-20.345842361450195,23.579999923706055
106496,-20.540273666381836,24.18000030517578
110592,-17.63319206237793,23.260000228881836
114688,-16.86682891845703,20.579999923706055
118784,-13.54515552520752,21.510000228881836
122880,-15.22071361541748,20.829999923706055
126976,-12.877705574035645,21.1299991607666
131072,-11.95791244506836,20.850000381469727
135168,-10.96126651763916,20.700000762939453
139264,-9.21749210357666,19.100000381469727
143360,-7.050499439239502,21.260000228881836
147456,-7.790343284606934,19.760000228881836
151552,-3.838562488555908,20.709999084472656
155648,-6.26129150390625,19.75
159744,-4.174412250518799,19.889999389648438
163840,-4.140412330627441,20.829999923706055
167936,-1.1120504140853882,21.90999984741211
172032,0.5438812971115112,24.780000686645508
176128,-0.9512028694152832,24.450000762939453
180224,1.7715938091278076,23.989999771118164
184320,5.928750991821289,26.899999618530273
188416,7.680871486663818,28.639999389648438
192512,8.540251731872559,27.200000762939453
196608,8.14125919342041,28.239999771118164
200704,10.533072471618652,31.100000381469727
204800,12.970458030700684,33.27000045776367
208896,14.747191429138184,34.75
212992,19.42363739013672,37.08000183105469
217088,17.14491844177246,33.61000061035156
221184,20.482776641845703,37.90999984741211
225280,21.51019287109375,39.119998931884766
229376,20.7093563079834,42.029998779296875
233472,27.47115135192871,42.790000915527344
237568,24.937110900878906,41.459999084472656
241664,29.317235946655273,45.31999969482422
245760,27.51738929748535,45.93000030517578
249856,34.681739807128906,48.5099983215332
253952,38.19154357910156,51.08000183105469
258048,45.282806396484375,55.7599983215332
262144,45.789756774902344,58.2400016784668
266240,46.770172119140625,59.15999984741211
270336,55.073368072509766,64.79000091552734
274432,64.69590759277344,71.12999725341797
278528,66.69693756103516,78.77999877929688
282624,72.0531234741211,82.44000244140625
286720,75.2136459350586,81.55000305175781
290816,84.92388153076172,89.29000091552734
294912,88.09647369384766,91.06999969482422
299008,99.8548355102539,96.55999755859375
303104,104.1448974609375,99.56999969482422
307200,107.73495483398438,104.16999816894531
311296,121.31272888183594,114.41000366210938
315392,131.34669494628906,123.81999969482422
319488,145.1592559814453,139.3699951171875
323584,151.50753784179688,144.4499969482422
327680,162.9021759033203,151.0399932861328
331776,181.4770050048828,162.44000244140625
335872,184.79954528808594,160.77000427246094
339968,181.7050018310547,161.44000244140625
344064,173.31370544433594,159.66000366210938
348160,170.55067443847656,160.25999450683594
352256,186.04397583007812,170.1300048828125
356352,207.13031005859375,187.10000610351562
360448,221.54859924316406,197.3000030517578
364544,249.17977905273438,217.72000122070312
368640,265.98382568359375,227.10000610351562
372736,285.01019287109375,244.0500030517578
376832,322.41534423828125,269.2099914550781
380928,348.8289794921875,291.3299865722656
385024,360.7066955566406,301.4800109863281
389120,374.44598388671875,312.94000244140625
393216,370.760009765625,311.2799987792969
397312,395.54364013671875,328.7200012207031
401408,370.74700927734375,334.3800048828125
405504,375.0296325683594,326.0299987792969
409600,381.2903747558594,337.7200012207031
413696,366.6884765625,333.2099914550781
417792,362.03826904296875,337.3900146484375
421888,352.3033447265625,357.69000244140625
425984,367.648193359375,370.1099853515625
430080,399.3307800292969,403.6300048828125
434176,407.10369873046875,409.6300048828125
438272,410.97900390625,409.239990234375
442368,408.6125793457031,403.07000732421875
446464,405.01092529296875,425.2200012207031
450560,384.33245849609375,404.3800048828125
454656,393.1761169433594,408.4599914550781
458752,400.096435546875,424.8800048828125
462848,401.1338806152344,428.7300109863281
466944,414.69891357421875,431.489990234375
471040,425.2182312011719,434.9700012207031
475136,430.3266906738281,438.5899963378906
479232,448.1009521484375,463.29998779296875
483328,442.7366027832031,459.82000732421875
487424,434.280517578125,474.6300048828125
491520,426.93585205078125,496.8900146484375
495616,387.4176940917969,506.75
499712,396.5258483886719,510.70001220703125
503808,404.6195983886719,546.1699829101562
507904,396.1167297363281,543.510009765625
512000,389.7745666503906,558.6799926757812
516096,420.30859375,570.02001953125
520192,425.9654846191406,580.2899780273438
524288,433.8448791503906,582.8599853515625
528384,426.688720703125,569.25
532480,430.0530700683594,574.1799926757812
536576,459.62298583984375,595.0499877929688
540672,476.1300354003906,606.3900146484375
544768,480.4941711425781,602.22998046875
548864,500.5896301269531,632.8499755859375
552960,531.7341918945312,650.1799926757812
557056,527.9015502929688,658.469970703125
561152,548.3001708984375,666.3599853515625
565248,571.1500244140625,663.5999755859375
569344,596.3309326171875,665.6900024414062
573440,600.3194580078125,654.239990234375
577536,620.9378662109375,645.260009765625
581632,619.263427734375,651.4600219726562
585728,624.6531982421875,639.469970703125
589824,623.0582275390625,642.2000122070312
593920,646.1239624023438,652.4199829101562
598016,651.936279296875,656.2000122070312
602112,622.0045166015625,650.010009765625
606208,628.4096069335938,654.6400146484375
610304,658.9376831054688,668.260009765625
614400,684.8609619140625,668.219970703125
618496,686.210693359375,659.260009765625
622592,748.9549560546875,657.6099853515625
626688,767.022705078125,637.719970703125
630784,765.8910522460938,647.97998046875
634880,777.0177001953125,649.219970703125
638976,773.9735107421875,654.969970703125
643072,826.4488525390625,688.7000122070312
647168,866.2222290039062,705.6199951171875
651264,882.7523803710938,712.8200073242188
655360,902.4024047851562,717.9099731445312
659456,923.9148559570312,736.8900146484375
663552,914.7996215820312,736.8900146484375
667648,924.0239868164062,747.9400024414062
671744,945.4865112304688,753.219970703125
675840,973.120361328125,771.6500244140625
679936,971.2111206054688,767.8499755859375
684032,983.4747314453125,768.3300170898438
688128,1008.2890014648438,782.0499877929688
692224,1015.1043701171875,787.0499877929688
696320,1029.22705078125,780.9199829101562
700416,1028.6298828125,786.0800170898438
704512,1026.1727294921875,799.6500244140625
708608,1063.1651611328125,823.22998046875
712704,1076.7962646484375,821.8099975585938
716800,1072.9224853515625,823.1400146484375
720896,1087.8209228515625,826.9600219726562
724992,1094.1900634765625,829.9500122070312
729088,1088.7945556640625,827.989990234375
733184,1048.1260986328125,817.7899780273438
737280,1046.8275146484375,812.989990234375
741376,1062.105224609375,819.0900268554688
745472,1062.992431640625,817.5399780273438
749568,1069.1527099609375,814.4099731445312
753664,1072.0177001953125,811.5499877929688
757760,1082.325927734375,798.5499877929688
761856,1070.6629638671875,798.8699951171875
765952,1078.5762939453125,806.3800048828125
770048,1079.6553955078125,806.3800048828125
774144,1095.4595947265625,814.8400268554688
778240,1106.479248046875,822.5800170898438
782336,1113.3216552734375,819.1400146484375
786432,1143.267822265625,819.47998046875
790528,1135.8060302734375,814.0399780273438
794624,1146.3033447265625,828.030029296875
798720,1114.8714599609375,807.22998046875
802816,1087.9881591796875,791.510009765625
806912,1104.5709228515625,799.8200073242188
811008,1117.7003173828125,800.3699951171875
815104,1137.411865234375,802.9299926757812
819200,1138.10400390625,795.6799926757812
823296,1137.4573974609375,784.239990234375
827392,1132.7662353515625,789.75
831488,1140.5904541015625,795.0700073242188
835584,1155.6021728515625,804.1699829101562
839680,1167.4613037109375,810.5999755859375
843776,1160.6102294921875,817.4400024414062
847872,1146.44091796875,812.97998046875
851968,1143.574951171875,811.6099853515625
856064,1122.6351318359375,809.47998046875
860160,1130.1268310546875,811.4099731445312
864256,1131.78955078125,814.2999877929688
868352,1127.237060546875,812.0599975585938
872448,1134.502197265625,828.0700073242188
876544,1131.2489013671875,829.1099853515625
880640,1150.6949462890625,829.1699829101562
884736,1173.079345703125,845.1900024414062
888832,1194.695068359375,857.2100219726562
892928,1197.3983154296875,860.9099731445312
897024,1205.8133544921875,863.1500244140625
901120,1201.4432373046875,863.4500122070312
905216,1213.3076171875,860.1900024414062
909312,1228.7603759765625,872.52001953125
913408,1229.8050537109375,869.2899780273438
917504,1231.80712890625,868.219970703125
921600,1230.81640625,868.219970703125
925696,1210.651123046875,868.219970703125
929792,1235.708251953125,883.1300048828125
933888,1271.4830322265625,879.5999755859375
937984,1262.3624267578125,876.0
942080,1276.393310546875,879.5
946176,1257.877197265625,879.5
950272,1255.66064453125,886.8499755859375
954368,1268.3397216796875,899.9500122070312
958464,1277.3221435546875,913.4199829101562
962560,1284.2611083984375,904.6799926757812
966656,1289.930908203125,897.3800048828125
970752,1293.6529541015625,901.510009765625
974848,1309.026611328125,910.4500122070312
978944,1304.183837890625,902.3800048828125
983040,1305.0716552734375,902.3800048828125
987136,1296.2352294921875,897.1699829101562
991232,1300.6522216796875,896.489990234375
995328,1300.5775146484375,899.75
999424,1310.5916748046875,905.0700073242188
1003520,1314.4056396484375,904.4500122070312
1007616,1324.9288330078125,905.47998046875
1011712,1328.7750244140625,907.0499877929688
1015808,1320.2191162109375,903.3099975585938
1019904,1319.2005615234375,903.3099975585938
1024000,1324.4984130859375,903.3099975585938
1028096,1328.980224609375,910.9600219726562
