timesteps,ep_rew_mean,ep_len_mean
4096,-134.25730895996094,75.64444732666016
8192,-136.88104248046875,82.38201904296875
12288,-144.29046630859375,91.08999633789062
16384,-145.19354248046875,90.18000030517578
20480,-131.76292419433594,81.87000274658203
24576,-125.33293151855469,79.38999938964844
28672,-111.28817749023438,71.4800033569336
32768,-107.6458969116211,68.47000122070312
36864,-85.68853759765625,59.349998474121094
40960,-85.55784606933594,56.209999084472656
45056,-71.62193298339844,50.0
49152,-55.77750778198242,40.97999954223633
53248,-45.81014633178711,35.06999969482422
57344,-36.028175354003906,28.139999389648438
61440,-33.142417907714844,25.190000534057617
65536,-28.023880004882812,23.90999984741211
69632,-25.114078521728516,21.239999771118164
73728,-23.617538452148438,20.440000534057617
77824,-19.47523307800293,18.219999313354492
81920,-17.49750328063965,16.6299991607666
86016,-15.557758331298828,15.90999984741211
90112,-14.861983299255371,15.289999961853027
94208,-14.910300254821777,14.359999656677246
98304,-13.02084732055664,13.779999732971191
102400,-11.766646385192871,13.34000015258789
106496,-10.158923149108887,12.479999542236328
110592,-9.873485565185547,12.380000114440918
114688,-7.602924346923828,12.09000015258789
118784,-7.728257179260254,12.3100004196167
122880,-6.447282314300537,11.300000190734863
126976,-5.64310884475708,11.430000305175781
131072,-4.296988487243652,12.109999656677246
135168,-3.8827197551727295,11.75
139264,-3.672041654586792,11.180000305175781
143360,-3.2526965141296387,12.579999923706055
147456,-2.724742889404297,11.75
151552,-2.444897413253784,11.460000038146973
155648,-1.749746322631836,13.079999923706055
159744,0.1521957665681839,12.390000343322754
163840,0.7592370510101318,13.550000190734863
167936,1.8466718196868896,13.979999542236328
172032,2.2040162086486816,15.420000076293945
176128,3.2525229454040527,16.100000381469727
180224,6.183526039123535,18.969999313354492
184320,7.73906946182251,18.739999771118164
188416,7.587893009185791,21.239999771118164
192512,10.90404987335205,24.459999084472656
196608,12.927562713623047,26.299999237060547
200704,15.90330696105957,29.389999389648438
204800,16.318361282348633,33.040000915527344
208896,20.13667869567871,36.279998779296875
212992,22.933530807495117,39.41999816894531
217088,22.577211380004883,41.16999816894531
221184,24.398069381713867,43.81999969482422
225280,29.20832061767578,48.66999816894531
229376,37.99589920043945,53.099998474121094
233472,37.10350799560547,56.470001220703125
237568,43.21320724487305,63.150001525878906
241664,36.844905853271484,59.04999923706055
245760,40.253929138183594,61.77000045776367
249856,46.93929672241211,65.25
253952,53.09294891357422,68.18000030517578
258048,60.4902458190918,80.0
262144,59.808780670166016,80.1500015258789
266240,68.08834075927734,88.04000091552734
270336,72.18340301513672,91.38999938964844
274432,75.15606689453125,89.47000122070312
278528,79.5685806274414,91.08000183105469
282624,87.8491439819336,102.69999694824219
286720,92.79165649414062,105.62000274658203
290816,94.95535278320312,109.54000091552734
294912,90.90966796875,107.87000274658203
299008,94.46704864501953,111.62999725341797
303104,105.88408660888672,121.66999816894531
307200,122.7335205078125,135.47000122070312
311296,129.17919921875,143.3699951171875
315392,134.7890625,149.6699981689453
319488,141.15609741210938,158.0399932861328
323584,142.03684997558594,162.1699981689453
327680,146.0902099609375,170.77000427246094
331776,163.82069396972656,197.2100067138672
335872,172.68206787109375,201.42999267578125
339968,168.59751892089844,204.83999633789062
344064,176.22958374023438,215.8800048828125
